life_expectancy,state,median_income,unemployment,income_inequality,gender_pay_gap,disconnected_youth,adult_smoking,physical_inactivity,adult_obesity,diabetes_prevalence,food_insecurity,insufficient_sleep,pm25,primary_care_physicians,homeownership,severe_housing_cost_burden
77.788101404,AZ,61225,0.1320121302,4.259008922,0.854016419,0.1194247068,0.144,0.306,0.423,0.139,0.188,0.359,9.1,4.251413e-4,0.7002327608,0.123307537
73.68056117,AR,58748,0.0325079265,4.8073364448,0.8008585293,0.0958673875,0.199,0.302,0.379,0.14,0.186,0.399,8.3,6.76495e-4,0.6614198258,0.1138209588
74.173299685,AR,48804,0.0358205403,3.9424048215,0.8659924147,0.1288135593,0.21,0.291,0.413,0.116,0.197,0.374,7.6,8.542141e-4,0.7495982166,0.0996632631
78.171667307,AR,92632,0.0244269193,3.9734624905000002,0.8019863343,0.0727028582,0.138,0.231,0.342,0.11,0.14,0.34,9.3,5.958623e-4,0.6720350711,0.072973205
74.431998348,AR,60204,0.0274602732,5.114689313,0.8769635036,0.067277369,0.198,0.33,0.375,0.123,0.187,0.413,8.5,0.0012297492,0.5920151302,0.133341422
73.195992697,AR,63905,0.0336426039,4.0065654343,0.6949351342,0.1018786127,0.189,0.3,0.395,0.125,0.193,0.379,8.7,3.478088e-4,0.7424110638,0.0852376906
69.161773093,AR,52153,0.0421455939,5.2932675709,0.826411015,0.149324861,0.226,0.357,0.415,0.158,0.17,0.43,7.5,2.735402e-4,0.566146799,0.1514261508
75.673682657,AR,68543,0.0288225611,4.2268840378,0.8491868557,0.0781434378,0.161,0.255,0.378,0.119,0.166,0.38,9.1,5.914984e-4,0.6158474195,0.1330704677
72.086639937,AR,53849,0.0369016117,4.7811629449,0.8797830417,0.1240261108,0.171,0.28,0.378,0.115,0.196,0.38,8.1,8.2727e-4,0.6923129656,0.1369166429
73.523634066,AR,55444,0.033108211,4.3239213726,0.8129544219,0.0829641563,0.225,0.331,0.376,0.126,0.199,0.415,8.3,4.965779e-4,0.6514559857,0.1135432518
70.288029776,AR,49581,0.0461265523,5.2166954085,0.8481785278,0.1514386673,0.242,0.354,0.445,0.153,0.17,0.467,8.7,7.288076e-4,0.632119668,0.1324009933
74.120651825,AR,74687,0.0273764477,4.042733182,0.8291407353,0.069591528,0.18,0.261,0.38,0.118,0.162,0.386,9,1.472123e-4,0.7442211597,0.085271028
71.387827371,AR,50421,0.0363870552,5.4960430686,0.7806281241,0.1724829523,0.239,0.35,0.437,0.139,0.192,0.418,9.3,6.79969e-4,0.6533627613,0.1454156122
68.664015957,AR,51635,0.0332761924,4.9066213922,0.7221852099,0.1426071741,0.269,0.367,0.408,0.14,0.216,0.42,8.5,8.82613e-5,0.6366958255,0.089245125
72.172341924,AR,47766,0.036286157,4.6522869747,0.7196531792,0.192887931,0.218,0.322,0.37,0.125,0.197,0.393,7.2,7.750736e-4,0.8215372907,0.1085012678
75.143608763,AR,59016,0.0386260077,4.4960265975,0.6750413831,0.0541482686,0.192,0.285,0.361,0.127,0.192,0.377,8.3,6.42744e-4,0.7123333195,0.099328628
73.800449453,AR,61344,0.0319375444,4.9778144914,0.8544354197,0.1353109137,0.167,0.267,0.384,0.127,0.163,0.392,9.6,0.0011789222,0.5774875629,0.1477461253
75.546619276,AR,77844,0.0272414187,4.0522177063000004,0.7587864695,0.1277059909,0.15,0.25,0.372,0.106,0.149,0.372,8.9,3.912707e-4,0.7643832302,0.0914123373
73.458914584,AR,58112,0.0339832769,4.3285154616,0.7874038406,0.1195024434,0.191,0.333,0.359,0.132,0.196,0.385,9,0.0013084112,0.6121537603,0.1235870084
76.840833306,AR,66158,0.022912204,4.5288659088,0.870792433,0.0617077512,0.172,0.284,0.335,0.119,0.166,0.353,6.9,7.998176e-4,0.5556160768,0.1217157827
72.758194102,AR,56178,0.0346930318,4.488654644,0.7370284865,0.0536003236,0.216,0.342,0.404,0.125,0.187,0.382,8.5,6.605619e-4,0.6823631024,0.0981089616
79.365139736,CA,95473,0.047645947,5.1347947639,0.8655598043,0.06530837,0.099,0.216,0.283,0.106,0.126,0.352,12.6,8.10952e-4,0.5578635172,0.2002429441
75.71472799,CA,63084,0.0524643673,5.3638683529,0.8361629064,0.0743855638,0.142,0.225,0.315,0.098,0.146,0.337,16.1,5.856684e-4,0.58275548,0.1969310109
